#Frame     RMSD_00001
       4       0.0000
       8       0.4891
      12       0.6399
      16       0.5934
      20       0.7960
      24       0.7183
      28       0.7008
      32       0.6944
      36       0.7953
      40       0.6964
      44       0.6809
      48       0.6632
      52       0.7287
      56       0.6821
      60       0.7440
      64       0.7374
      68       0.8801
      72       0.8205
      76       0.7482
      80       0.6850
      84       0.7342
      88       0.7727
      92       0.8494
      96       0.7313
     100       0.6932
     104       0.7986
     108       0.7736
     112       0.8378
     116       0.7829
     120       0.8216
     124       0.8814
     128       0.9359
     132       0.8640
     136       0.8307
     140       1.0101
     144       0.9015
     148       1.0019
     152       0.8444
     156       0.8617
     160       0.9164
     164       1.0101
     168       0.9146
     172       0.9710
     176       0.9766
     180       0.9524
     184       0.8676
     188       1.0386
     192       0.9505
     196       1.0804
     200       0.9946
     204       0.9488
     208       1.0599
     212       1.1129
     216       1.1658
     220       1.0292
     224       1.0570
     228       0.9239
     232       0.9732
     236       1.0204
     240       1.2334
     244       1.2291
     248       1.0605
     252       1.1618
     256       1.1564
     260       1.1041
     264       1.0972
     268       1.1110
     272       1.1649
     276       1.2717
     280       1.1333
     284       1.1274
     288       1.1408
     292       1.0851
     296       1.0164
     300       0.9669
     304       0.9669
     308       1.0027
     312       1.0464
     316       1.1632
     320       1.0807
     324       1.0535
     328       1.1459
     332       0.8809
     336       1.0183
     340       1.0310
     344       0.8255
     348       0.9550
     352       0.9978
     356       1.0095
     360       1.0325
     364       1.0002
     368       0.9800
     372       0.9658
     376       0.9104
     380       0.9507
     384       1.1801
     388       1.0970
     392       1.1169
     396       1.0738
     400       1.1192
     404       1.0798
     408       1.0476
     412       1.0105
     416       1.0513
     420       0.9856
     424       0.9709
     428       1.0031
     432       1.0165
     436       1.1318
     440       1.1357
     444       0.9759
     448       0.9278
     452       1.0288
     456       0.9306
     460       0.9802
     464       0.8990
     468       0.8284
     472       1.0078
     476       0.9889
     480       1.0620
     484       1.1626
     488       1.1394
     492       1.2489
     496       1.2084
     500       1.1826
     504       1.0509
     508       1.0826
     512       1.0672
     516       1.1276
     520       1.0807
     524       1.1878
     528       1.2740
     532       1.1884
     536       1.2563
     540       1.4016
     544       1.2878
     548       1.3965
     552       1.3890
     556       1.2893
     560       1.1994
     564       1.2045
     568       1.1852
     572       1.1600
     576       1.0983
     580       1.0533
     584       1.0645
     588       1.0349
     592       0.8970
     596       0.9323
     600       0.8420
     604       0.8931
     608       0.8880
     612       0.9079
     616       0.8062
     620       0.6755
     624       0.7845
     628       0.8110
     632       0.8397
     636       0.8300
     640       0.8764
     644       0.9637
     648       0.9668
     652       0.8599
     656       0.9124
     660       0.8777
     664       0.9537
     668       0.7694
     672       0.8663
     676       0.9271
     680       1.0028
     684       1.0528
     688       1.0445
     692       0.9045
     696       0.7987
     700       0.7556
     704       0.8607
     708       0.8770
     712       0.8542
     716       0.8798
     720       0.8627
     724       0.8882
     728       0.8827
     732       1.0148
     736       1.1036
     740       1.0278
     744       1.1091
     748       1.0025
     752       1.0044
     756       0.8653
     760       0.8167
     764       0.8981
     768       0.8922
     772       0.9571
     776       0.9796
     780       1.0029
     784       0.9934
     788       0.9905
     792       0.9323
     796       0.9771
     800       1.0974
     804       1.0551
     808       1.0163
     812       0.9892
     816       1.2025
     820       1.2275
     824       1.3207
     828       1.3621
     832       1.4232
     836       1.3887
     840       1.3831
     844       1.2013
     848       1.3119
     852       1.2175
     856       1.3858
     860       1.2021
     864       1.2296
     868       1.0964
     872       0.9951
     876       1.0778
     880       1.0536
     884       1.0524
     888       1.0580
     892       1.0677
     896       0.9480
     900       0.9490
     904       0.9844
     908       1.0058
     912       1.0171
     916       0.9986
     920       0.9535
     924       0.9250
     928       0.9729
     932       1.1633
     936       1.0566
     940       1.0053
     944       1.0678
     948       1.1218
     952       1.0705
     956       1.0802
     960       1.1601
     964       1.1506
     968       1.0634
     972       1.2004
     976       1.0992
     980       1.1237
     984       1.0942
     988       0.8976
     992       0.9340
     996       0.9194
    1000       0.9656
    1004       0.9800
    1008       1.0717
    1012       1.0917
    1016       0.9255
    1020       0.9892
    1024       0.9484
    1028       1.0671
    1032       0.8650
    1036       0.7803
    1040       0.7413
    1044       0.7991
    1048       0.8138
    1052       0.8363
    1056       0.8906
    1060       0.8751
    1064       0.9246
    1068       0.9225
    1072       0.9753
    1076       1.2308
    1080       1.1418
    1084       1.1446
    1088       1.2107
    1092       1.2508
    1096       1.2165
    1100       1.1902
    1104       1.1167
    1108       1.0773
    1112       1.2300
    1116       1.2381
    1120       1.1395
    1124       1.1699
    1128       1.2655
    1132       1.1258
    1136       1.1064
    1140       1.1503
    1144       1.1691
    1148       1.1150
    1152       1.2484
    1156       1.2433
    1160       1.1946
    1164       1.1879
    1168       1.2040
    1172       1.1977
    1176       1.1532
    1180       1.2035
    1184       1.2122
    1188       1.1171
    1192       1.1063
    1196       1.0976
    1200       1.2194
    1204       1.1167
    1208       1.1518
    1212       1.2371
    1216       1.2784
    1220       1.3441
    1224       1.3736
    1228       1.2835
    1232       1.3175
    1236       1.2903
    1240       1.3429
    1244       1.2479
    1248       1.2228
    1252       1.2457
    1256       1.3397
    1260       1.2703
    1264       1.2236
    1268       1.1600
    1272       1.1276
    1276       1.1834
    1280       1.2479
    1284       1.4004
    1288       1.2568
    1292       1.2568
    1296       1.2830
    1300       1.3658
    1304       1.3760
    1308       1.3470
    1312       1.3451
    1316       1.3336
    1320       1.1941
    1324       1.1630
    1328       1.2041
    1332       1.2792
    1336       1.3885
    1340       1.4269
    1344       1.4363
    1348       1.4600
    1352       1.5143
    1356       1.4699
    1360       1.3997
    1364       1.3875
    1368       1.4501
    1372       1.3190
    1376       1.4427
    1380       1.4221
    1384       1.4105
    1388       1.3639
    1392       1.4267
    1396       1.3346
    1400       1.4488
    1404       1.4908
    1408       1.4626
    1412       1.4122
    1416       1.3357
    1420       1.3915
    1424       1.4020
    1428       1.4720
    1432       1.4396
    1436       1.4524
    1440       1.4634
    1444       1.3134
    1448       1.3427
    1452       1.4123
    1456       1.3572
    1460       1.3809
    1464       1.4012
    1468       1.4074
    1472       1.4223
    1476       1.3005
    1480       1.3270
    1484       1.2321
    1488       1.4077
    1492       1.2910
    1496       1.2298
    1500       1.2970
    1504       1.3841
    1508       1.2684
    1512       1.4113
    1516       1.4090
    1520       1.4685
    1524       1.5871
    1528       1.6650
    1532       1.4896
    1536       1.4432
    1540       1.4204
    1544       1.3576
    1548       1.3649
    1552       1.4339
    1556       1.4808
    1560       1.3883
    1564       1.3648
    1568       1.3009
    1572       1.2206
    1576       1.2787
    1580       1.1952
    1584       1.1451
    1588       1.1905
    1592       1.3010
    1596       1.3758
    1600       1.2467
    1604       1.2899
    1608       1.1793
    1612       1.2018
    1616       1.1613
    1620       1.1749
    1624       1.3064
    1628       1.2894
    1632       1.2437
    1636       1.2548
    1640       1.2757
    1644       1.2683
    1648       1.2743
    1652       1.2821
    1656       1.2785
    1660       1.1865
    1664       1.1870
    1668       1.1621
    1672       1.2071
    1676       1.2114
    1680       1.1798
    1684       1.1464
    1688       1.1486
    1692       1.0365
    1696       1.0701
    1700       1.1558
    1704       1.0557
    1708       1.0294
    1712       1.0664
    1716       1.1060
    1720       1.1651
    1724       1.2552
    1728       1.2995
    1732       1.3576
    1736       1.3064
    1740       1.3638
    1744       1.3005
    1748       1.4278
    1752       1.3956
    1756       1.3977
    1760       1.4788
    1764       1.3781
    1768       1.3219
    1772       1.3283
    1776       1.2775
    1780       1.2955
    1784       1.3068
    1788       1.2413
    1792       1.1890
    1796       1.3330
    1800       1.2830
    1804       1.3793
    1808       1.2800
    1812       1.2786
    1816       1.4789
    1820       1.5087
    1824       1.5242
    1828       1.5486
    1832       1.6169
    1836       1.6694
    1840       1.6475
    1844       1.6988
    1848       1.6023
    1852       1.5624
    1856       1.4806
    1860       1.4677
    1864       1.5341
    1868       1.4407
    1872       1.4528
    1876       1.3734
    1880       1.3193
    1884       1.3382
    1888       1.2887
    1892       1.4672
    1896       1.2753
    1900       1.3286
